numero,status,nome
00,available,
01,available,
02,available,
03,available,
04,available,
05,available,
06,available,
07,available,
08,available,
09,available,
10,available,
11,available,
12,available,
13,available,
14,available,
15,available,
16,available,
17,available,
18,available,
19,available,
20,available,
21,available,
22,available,
23,available,
24,available,
25,available,
26,available,
27,available,
28,available,
29,available,
30,available,
31,available,
32,available,
33,available,
34,available,
35,available,
36,available,
37,available,
38,available,
39,available,
40,available,
41,available,
42,available,
43,available,
44,available,
45,available,
46,available,
47,available,
48,available,
49,available,
50,available,
51,available,
52,available,
53,available,
54,available,
55,available,
56,available,
57,available,
58,available,
59,available,
60,available,
61,available,
62,available,
63,available,
64,available,
65,available,
66,available,
67,available,
68,available,
69,available,
70,available,
71,available,
72,available,
73,available,
74,available,
75,available,
76,available,
77,available,
78,available,
79,available,
80,available,
81,available,
82,available,
83,available,
84,available,
85,available,
86,available,
87,available,
88,available,
89,available,
90,available,
91,available,
92,available,
93,available,
94,available,
95,available,
96,available,
97,available,
98,available,
99,available,
100,available,
101,available,
102,available,
103,available,
104,available,
105,available,
106,available,
107,available,
108,available,
109,available,
110,available,
111,available,
112,available,
113,available,
114,available,
115,available,
116,available,
117,available,
118,available,
119,available,
